gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	WT_1_log2CPM	WT_2_log2CPM	WT_3_log2CPM	KO_1_log2CPM	KO_2_log2CPM	KO_3_log2CPM
Lsmd1	-0.088535	3.861	-1.3517	0.20831	0.41697	-6.9765	3.7759	3.9177	4.0537	3.8041	3.8159	3.7986
Sfpi1	0.047972	7.1925	1.3514	0.20839	0.41708	-7.3974	7.158	7.1163	7.2336	7.2295	7.2118	7.2059
Gm6161	-0.69537	-2.9762	-1.351	0.20854	0.41731	-4.7948	-2.8755	-2.6855	-2.3431	-3.793	-3.5823	-2.578
Zfp560	-0.071315	3.8924	-1.3495	0.20899	0.41816	-6.9871	3.9457	3.9276	3.9197	3.9239	3.884	3.7533
Gm13549	-0.58343	-2.6558	-1.3483	0.20938	0.41884	-4.8702	-2.5651	-2.2309	-2.1987	-2.6354	-3.0349	-3.2699
Zfp672	0.071095	3.7931	1.3482	0.20938	0.41884	-6.9634	3.741	3.7513	3.7764	3.8041	3.7623	3.9237
Mnd1	0.11305	3.1648	1.3482	0.20941	0.41884	-6.7906	3.0458	3.2747	2.9654	3.1387	3.2899	3.274
Polq	0.077762	5.387	1.348	0.20945	0.41888	-7.2687	5.4153	5.3034	5.3177	5.3077	5.5203	5.4577
Slc25a2	-0.55296	-2.4669	-1.3476	0.20957	0.41905	-4.9222	-2.0275	-2.0141	-2.6842	-2.7385	-2.8905	-2.4468
Lcor	0.15271	4.2794	1.3474	0.20964	0.41914	-7.0798	4.4612	3.9221	4.2251	4.3319	4.3919	4.3442
Mtap1b	2.7549	-2.7096	1.3471	0.20973	0.4192	-4.7884	-5.1974	-2.6855	-3.7837	1.679	-2.7592	-3.5109
6330403L08Rik	-0.27705	-0.24954	-1.3471	0.20975	0.4192	-5.6521	0.20177	-0.36357	-0.21602	-0.43814	-0.34026	-0.34101
Gm8759	-0.18286	2.3254	-1.3471	0.20975	0.4192	-6.5299	2.2204	2.5065	2.6012	2.2698	2.4332	1.9214
Ssbp4	0.089613	4.5478	1.3468	0.20982	0.41927	-7.1366	4.4754	4.3762	4.6868	4.5554	4.6056	4.5876
Gm5595	-0.089827	3.2083	-1.3467	0.20987	0.41927	-6.8058	3.3175	3.2116	3.2115	3.064	3.2496	3.1958
Aldh3a1	-0.19657	1.2084	-1.3466	0.20988	0.41927	-6.1601	1.1137	1.5568	1.2731	1.2243	1.1643	0.91838
Abcg2	1.5521	-4.5555	1.3466	0.20989	0.41927	-4.5726	-7.5193	-4.2705	-3.7837	-2.6354	-4.9608	-4.163
Gm12070	-0.31396	-1.0878	-1.3462	0.21002	0.41949	-5.368	-0.94948	-1.0653	-0.70842	-1.1536	-1.352	-1.2979
Trub1	0.06873	4.7249	1.3454	0.21027	0.41981	-7.1716	4.644	4.6487	4.8018	4.8021	4.762	4.691
Gm13882	-0.29274	1.9453	-1.3453	0.2103	0.41981	-6.4062	2.1335	1.8565	2.3367	2.0821	1.197	2.0658
Gm10169	-0.29517	-0.06251	-1.3451	0.21037	0.41981	-5.7182	0.10272	-0.14576	0.39762	0.068823	-0.59628	-0.20218
Sepsecs	0.058001	5.1546	1.345	0.2104	0.41981	-7.2414	5.1878	5.0447	5.1458	5.1761	5.1841	5.1892
Gm5612	0.86543	-3.5703	1.3449	0.21041	0.41981	-4.6881	-4.0599	-3.1925	-5.0061	-3.406	-3.0349	-2.7224
Stfa2	0.38906	-1.3562	1.3448	0.21046	0.41981	-5.2798	-1.9046	-1.1736	-1.5467	-1.0177	-1.3055	-1.189
Plcxd1	1.6722	-5.3339	1.3447	0.21048	0.41981	-4.5284	-5.9344	-5.8554	-6.5911	-2.5392	-5.6978	-5.3854
Gm10157	-0.61895	-2.8927	-1.3446	0.21051	0.41981	-4.8213	-2.5651	-2.396	-2.8906	-3.2455	-3.3759	-2.8829
Chchd3	-0.043081	6.4782	-1.3445	0.21055	0.41981	-7.3737	6.4668	6.5201	6.5127	6.4561	6.429	6.4846
Hook3	0.10154	7.0951	1.3445	0.21055	0.41981	-7.403	7.2418	6.8927	6.9959	7.0955	7.1785	7.1662
AC126942.1	-0.67778	-2.8774	-1.3444	0.21057	0.41981	-4.8209	-2.4749	-2.9168	-2.0675	-3.2455	-2.7592	-3.8004
Itpa	0.059981	6.0227	1.3444	0.21057	0.41981	-7.3401	5.9089	6.073	5.9965	6.0214	6.0818	6.0546
Ext2	-0.040938	6.2748	-1.3444	0.21058	0.41981	-7.3602	6.3061	6.3022	6.2768	6.2528	6.2786	6.2325
Mettl11a	0.066611	3.7165	1.3444	0.21058	0.41981	-6.9487	3.6871	3.6344	3.732	3.7069	3.7417	3.797
Dynlt1-ps1	0.25598	-0.4086	1.3443	0.21061	0.41981	-5.5993	-0.67384	-0.32144	-0.61378	-0.23603	-0.20596	-0.40051
R3hdm2	0.070863	6.2925	1.3442	0.21063	0.41981	-7.3616	6.3109	6.1291	6.3358	6.2927	6.3558	6.3307
Letm1	0.047813	6.0381	1.3442	0.21064	0.41981	-7.3417	6.0051	6.0638	5.9709	6.0574	6.0932	6.0382
Wasf1	1.699	-3.6972	1.3438	0.21076	0.42001	-4.663	-4.712	-4.2705	-4.2691	-0.46	-3.8233	-4.6484
Pola1	0.057166	7.2807	1.3431	0.21098	0.42039	-7.4101	7.3337	7.2303	7.1902	7.2681	7.3573	7.3044
Gm5665	0.19114	1.7016	1.3424	0.21119	0.42068	-6.3297	1.8272	1.4331	1.5017	1.5807	1.958	1.9092
Mir1950	0.65913	-2.8157	1.3424	0.21121	0.42068	-4.8372	-2.9958	-3.3529	-3.1316	-2.9699	-1.9974	-2.4468
Fkbpl	0.075036	3.9229	1.3423	0.21123	0.42068	-7.0035	3.8144	3.9748	3.8632	3.9207	4.0181	3.9463
Trappc4	-0.04551	5.3386	-1.3423	0.21123	0.42068	-7.27	5.3291	5.3907	5.3642	5.3049	5.3155	5.3274
Tcf25	-0.047332	7.9153	-1.3422	0.21126	0.42068	-7.4199	7.8947	7.9828	7.9395	7.9185	7.9116	7.8449
Phf2	0.070552	6.0933	1.3418	0.21138	0.42086	-7.3493	6.1338	5.9288	6.1148	6.1045	6.1381	6.14
Gm7241	0.64749	-2.8166	1.3414	0.2115	0.42105	-4.8364	-3.127	-2.6855	-3.7837	-2.7385	-2.2384	-2.3265
Paqr3	-0.2158	0.98786	-1.3411	0.21161	0.42121	-6.092	1.1353	0.80279	1.3919	0.7402	0.79937	1.0575
Tmem176b	0.071322	8.0751	1.3401	0.21192	0.42178	-7.4231	7.9293	8.1681	8.0207	8.0983	8.1084	8.1256
Ints1	0.086095	6.2465	1.3399	0.21198	0.42181	-7.3636	6.2243	6.0478	6.3487	6.2705	6.3237	6.264
Mfsd8	-0.087518	3.4448	-1.3399	0.21198	0.42181	-6.8814	3.5555	3.5447	3.3263	3.3731	3.4375	3.4316
Fbp2	0.37468	-1.3949	1.3397	0.21205	0.42188	-5.271	-1.5421	-1.3319	-1.9472	-1.1536	-0.979	-1.4158
Txndc11	-0.040235	6.313	-1.3389	0.21228	0.42229	-7.3697	6.3582	6.3223	6.3179	6.2964	6.3028	6.2801
Hyi	0.099661	2.3094	1.3388	0.21233	0.42234	-6.5359	2.1654	2.3261	2.2946	2.3347	2.3593	2.3761
Mir301	-0.62466	-2.943	-1.3385	0.21242	0.42246	-4.8154	-2.6614	-2.6855	-2.5036	-3.406	-2.8905	-3.5109
Hmgn2	-0.041115	8.8625	-1.3379	0.2126	0.42276	-7.4265	8.8521	8.8901	8.9071	8.8119	8.8501	8.8639
Hdac8	0.072243	4.4383	1.3377	0.21266	0.42283	-7.1259	4.4162	4.4533	4.3151	4.3896	4.5226	4.533
Scaf11	0.062332	7.8296	1.3375	0.21274	0.42295	-7.4251	7.9063	7.7377	7.7509	7.8276	7.8989	7.8564
Galt	0.068302	3.8362	1.3367	0.21298	0.42335	-6.9889	3.7292	3.8398	3.8529	3.9016	3.8638	3.8297
Jub	-0.054477	4.8343	-1.3366	0.21302	0.42338	-7.2017	4.8269	4.8897	4.874	4.8265	4.8417	4.7469
Zfp869	-0.073224	4.9621	-1.3363	0.21311	0.42351	-7.2232	5.122	4.9484	4.9152	4.9539	4.9349	4.8981
Rufy3	-0.060149	4.5729	-1.3361	0.21318	0.4236	-7.155	4.6788	4.5712	4.5517	4.554	4.5647	4.517
Brd4	0.072511	7.0132	1.336	0.21322	0.42362	-7.4107	7.0526	6.8381	7.0427	7.0469	7.0735	7.0251
Jph3	1.7471	-4.1114	1.3354	0.21338	0.42383	-4.6211	-5.9344	-4.2705	-4.2691	-0.98562	-3.8233	-5.3854
Impg2	-0.65724	-3.0714	-1.3354	0.21339	0.42383	-4.7911	-2.8755	-2.9168	-2.3431	-3.5865	-3.1953	-3.5109
Scarna10	0.46359	-1.6407	1.3354	0.21341	0.42383	-5.1886	-2.1618	-1.2116	-2.3431	-1.3437	-1.3055	-1.4785
Atp6v0b	-0.055501	7.0034	-1.3352	0.21347	0.42387	-7.4116	6.9556	7.0205	7.1209	6.9699	6.9738	6.9799
Ctnnb1	-0.039981	9.2132	-1.3351	0.21348	0.42387	-7.4297	9.2408	9.2628	9.196	9.1885	9.1985	9.1926
Ddx1	0.048507	7.7656	1.3349	0.21355	0.42395	-7.4278	7.7627	7.775	7.6856	7.7411	7.814	7.8151
Gm10269	0.25706	1.5257	1.3348	0.21359	0.42395	-6.2804	1.1637	1.4207	1.6616	1.7897	1.197	1.9214
E4f1	-0.080337	4.3561	-1.3347	0.2136	0.42395	-7.1126	4.2739	4.4094	4.5285	4.3103	4.2838	4.3306
Ehbp1l1	-0.061259	6.595	-1.3346	0.21365	0.42399	-7.393	6.6084	6.5473	6.7276	6.5823	6.5815	6.5229
5430400D12Rik	0.38306	-1.4458	1.3344	0.21372	0.42408	-5.2638	-1.9647	-1.659	-1.1648	-1.4273	-1.2167	-1.2424
Unk	-0.058462	5.2357	-1.3334	0.21404	0.42466	-7.2674	5.3205	5.1773	5.3011	5.2116	5.2003	5.2036
Canx	-0.0505	9.8176	-1.3332	0.21407	0.42468	-7.4304	9.9039	9.8404	9.7844	9.7652	9.8342	9.7773
A630007B06Rik	-0.066588	5.0711	-1.3331	0.21412	0.42469	-7.244	5.2092	5.0607	5.0342	5.0363	5.0745	5.0116
Zbtb22	0.081509	4.9851	1.3331	0.21413	0.42469	-7.2305	4.9228	4.8267	5.1055	5.0309	4.9849	5.0398
Apbb3	-0.064356	4.0247	-1.3327	0.21424	0.42485	-7.0403	4.029	4.0905	4.0537	3.9706	4.0643	3.9403
Zfp259	0.054031	6.0004	1.3323	0.21435	0.42494	-7.3532	5.9123	6.0187	5.9918	6.0068	6.0818	5.9913
Mbd2	-0.045926	6.1004	-1.3323	0.21436	0.42494	-7.3618	6.1644	6.1148	6.0873	6.0451	6.1035	6.0875
Zfp763	-0.072949	3.4825	-1.3322	0.21439	0.42494	-6.9013	3.5661	3.4354	3.5625	3.4469	3.4272	3.4569
Reep2	1.4754	-3.2221	1.3321	0.21444	0.42494	-4.7557	-4.712	-3.5335	-3.1316	-0.4166	-3.3759	-4.163
Anapc5	-0.042813	8.7802	-1.3321	0.21445	0.42494	-7.4338	8.7706	8.8544	8.7799	8.7551	8.7651	8.7562
Rasal1	-0.56885	-1.2094	-1.332	0.21445	0.42494	-5.3275	-0.75115	-1.1736	-0.5687	-0.57456	-1.6104	-2.578
Cops3	-0.044598	7.1434	-1.3319	0.2145	0.42494	-7.4203	7.1744	7.1992	7.1214	7.0864	7.128	7.1508
Hecw2	1.1367	-3.323	1.3318	0.21451	0.42494	-4.7373	-3.8189	-2.9168	-5.0061	-1.3437	-3.5823	-3.2699
Ccny	0.04854	6.606	1.3318	0.21453	0.42494	-7.3969	6.6424	6.5695	6.5297	6.6258	6.6102	6.6584
Nbeal2	0.07561	7.5119	1.3317	0.21456	0.42496	-7.4288	7.4597	7.3505	7.615	7.5522	7.551	7.5428
Paox	0.064201	4.3687	1.331	0.21477	0.42532	-7.1198	4.2957	4.3601	4.3522	4.3208	4.4515	4.4321
Nrn1	2.0405	-3.0533	1.3296	0.21522	0.42614	-4.7672	-2.9958	-4.633	-4.2691	0.67149	-3.5823	-3.5109
Gm15538	0.61492	-2.3439	1.3295	0.21525	0.42616	-4.9752	-3.2714	-2.5824	-1.8362	-2.0672	-1.7282	-2.578
Tnfrsf26	-0.060782	3.9365	-1.3292	0.21536	0.4263	-7.0233	3.984	3.9276	3.993	3.9271	3.8574	3.9297
Scml4	0.2527	-0.35364	1.3291	0.21538	0.4263	-5.6369	-0.46405	-0.5949	-0.36225	-0.1625	-0.4626	-0.075549
Rfwd3	-0.047645	7.674	-1.3289	0.21544	0.42638	-7.4345	7.7496	7.6964	7.6468	7.6112	7.6794	7.6608
Kdm6a	0.063932	7.0858	1.3287	0.21551	0.42647	-7.4223	7.1695	6.9853	7.0043	7.0961	7.1156	7.1441
Smn1	0.054702	5.1514	1.3284	0.2156	0.42658	-7.2615	5.127	5.0756	5.1734	5.1229	5.2108	5.1986
Cdc42ep3	-0.045113	4.9641	-1.3282	0.21566	0.42664	-7.2335	4.9818	4.9851	4.9925	4.921	4.9457	4.9585
Sec63	-0.047284	7.3289	-1.3281	0.21571	0.4267	-7.4299	7.4123	7.3435	7.3002	7.2796	7.317	7.3209
Chmp2a	-0.065141	6.2576	-1.3279	0.21578	0.42678	-7.3795	6.1961	6.3849	6.2899	6.1892	6.2715	6.2144
Rtn3	-0.040667	8.4268	-1.3278	0.21581	0.42678	-7.439	8.4748	8.438	8.4287	8.3977	8.3822	8.4396
Gm15598	0.89607	-3.5715	1.3269	0.21607	0.42719	-4.7074	-4.0599	-3.7399	-4.2691	-3.406	-2.1535	-3.8004
Tfdp1	0.039194	8.2601	1.3269	0.21607	0.42719	-7.4399	8.2616	8.2389	8.2211	8.2517	8.2967	8.2908
Gm14154	0.63208	-2.6825	1.3267	0.21616	0.42732	-4.8871	-2.8755	-3.5335	-2.5036	-2.7385	-1.9974	-2.4468
4632411P08Rik	0.77938	-3.4034	1.3264	0.21624	0.42743	-4.7385	-4.0599	-4.2705	-2.8906	-3.1011	-3.3759	-2.7224
Tyw1	0.043245	5.469	1.3262	0.21631	0.4275	-7.3061	5.4596	5.4489	5.4317	5.4722	5.5179	5.4837
Gm12976	0.52643	-1.8197	1.326	0.21637	0.42756	-5.1371	-1.5886	-2.6855	-2.0675	-1.8787	-1.6104	-1.0877
Erbb2ip	0.075566	8.035	1.3257	0.21646	0.42766	-7.4408	8.1448	7.9036	7.9431	8.0421	8.0751	8.1016
Prpf39	-0.053302	6.3022	-1.3256	0.21649	0.42766	-7.3854	6.3965	6.3293	6.255	6.2479	6.3018	6.2824
Gm12380	0.55978	-2.2924	1.3256	0.2165	0.42766	-4.9927	-3.127	-2.0141	-2.5036	-1.821	-2.0733	-2.2155
Becn1	0.042454	6.8704	1.3253	0.21659	0.42774	-7.4182	6.8216	6.8823	6.8434	6.8664	6.9239	6.885
Rnf145	-0.042116	7.2985	-1.3253	0.21659	0.42774	-7.4326	7.3258	7.3578	7.2738	7.2658	7.283	7.285
9130024F11Rik	1.7085	-5.446	1.3247	0.21677	0.42804	-4.5386	-7.5193	-4.633	-6.5911	-2.8496	-5.6978	-5.3854
Slc27a4	-0.05583	4.248	-1.3246	0.21681	0.42806	-7.1016	4.2828	4.236	4.3181	4.2161	4.2462	4.1889
snoU90	0.88902	-0.068072	1.3244	0.21689	0.42816	-5.7168	-0.75115	-0.183	-0.66033	-0.62305	1.934	-0.12488
Pkd2	0.07913	5.4472	1.3239	0.21704	0.42841	-7.3062	5.4942	5.2831	5.4475	5.4107	5.5547	5.4934
Mlh1	0.049653	5.5604	1.3236	0.21713	0.42849	-7.32	5.5098	5.564	5.534	5.5705	5.6407	5.5431
Rpl21-ps1	0.31365	0.13529	1.3236	0.21714	0.42849	-5.816	-0.33942	0.10651	0.22911	0.45495	-0.18475	0.54533
Akap9	0.078494	7.0832	1.3235	0.21718	0.42853	-7.4287	7.172	6.9359	7.0224	7.0475	7.1831	7.1384
Fth1	-0.054666	8.8189	-1.3228	0.21738	0.42888	-7.4452	8.7524	8.888	8.8984	8.7784	8.788	8.8085
Tmem179b	-0.082815	4.6003	-1.3227	0.21741	0.42888	-7.1767	4.5234	4.6487	4.778	4.6063	4.4891	4.5566
Gm5776	-0.42475	-1.9186	-1.3226	0.21746	0.42893	-5.113	-1.6367	-1.8858	-1.5467	-2.0016	-2.3286	-2.1124
Psip1	-0.053569	7.1661	-1.3224	0.21753	0.429	-7.4327	7.2782	7.1665	7.1316	7.1173	7.1558	7.147
Tln2	-1.6456	-3.2778	-1.3222	0.21757	0.42901	-4.7396	-2.7644	-1.7125	-2.6842	-0.57456	-7.2828	-4.6484
Eif3c	-0.040281	8.7691	-1.3221	0.2176	0.42901	-7.4461	8.7801	8.8087	8.7788	8.7283	8.7875	8.7309
Tdp1	0.056422	5.138	1.3221	0.21761	0.42901	-7.2673	5.0794	5.1892	5.0523	5.1538	5.1646	5.1886
Mcm7	0.045292	8.8487	1.321	0.21796	0.42964	-7.4474	8.8007	8.8425	8.835	8.8484	8.9302	8.8354
H2-Oa	0.079775	4.2992	1.3208	0.21804	0.42973	-7.1175	4.1411	4.3714	4.2677	4.3071	4.3696	4.3385
Gm13213	0.42736	-1.4932	1.3207	0.21806	0.42973	-5.2607	-2.1618	-1.3743	-1.5467	-1.2266	-1.6104	-1.0396
Tnfrsf23	-0.18059	0.44514	-1.3206	0.21809	0.42973	-5.9313	0.60479	0.50798	0.46422	0.24129	0.49201	0.36055
Gm15753	0.25899	-0.69042	1.3205	0.21812	0.42974	-5.5315	-0.80509	-0.87053	-0.75817	-0.46	-0.65342	-0.59533
Rbm3	0.055597	9.5359	1.3202	0.21821	0.42987	-7.4475	9.4973	9.5848	9.4422	9.5102	9.5914	9.5892
Wdr20a	0.051984	4.8854	1.3201	0.21825	0.42989	-7.2305	4.8893	4.8447	4.8399	4.8704	4.9613	4.9065
2700012I20Rik	0.28745	-0.82485	1.3197	0.21838	0.43004	-5.4869	-0.98017	-0.96465	-0.91864	-0.62305	-0.51459	-0.948
Pcnx	0.061706	5.9376	1.3197	0.21838	0.43004	-7.3632	6.0068	5.8216	5.8895	5.9592	5.9789	5.9694
Gm12715	-0.12769	2.6323	-1.3196	0.21841	0.43004	-6.6632	2.7463	2.5861	2.7818	2.7124	2.3772	2.59
Wdr27	-0.45714	-1.8121	-1.3192	0.21856	0.43022	-5.1526	-1.9046	-1.2506	-1.6369	-2.0672	-2.3286	-1.685
2310008H04Rik	-0.044781	6.1441	-1.3191	0.21857	0.43022	-7.3816	6.2006	6.1797	6.1148	6.1198	6.1067	6.1432
She	0.7477	-3.2666	1.3191	0.21858	0.43022	-4.769	-4.0599	-3.0481	-3.7837	-2.449	-3.1953	-3.0635
Gm16302	-1.4147	-4.7466	-1.3187	0.21871	0.43041	-4.5782	-4.0599	-5.1185	-2.6842	-4.6861	-7.2828	-4.6484
Klra2	-0.1552	1.4499	-1.3184	0.2188	0.43054	-6.2764	1.4378	1.7017	1.4479	1.452	1.4553	1.2046
2510012J08Rik	-0.087992	4.9158	-1.3176	0.21905	0.43097	-7.2387	4.9025	4.8528	5.1508	4.8781	4.8306	4.8802
Mical3	0.090737	3.0731	1.3175	0.21909	0.43097	-6.8019	3.1326	2.9314	3.0033	3.0774	3.1106	3.1832
Gm11246	0.36303	-1.4228	1.3175	0.2191	0.43097	-5.2899	-1.5886	-1.659	-1.5467	-1.0505	-1.5549	-1.1375
Tnfsf13	0.26582	-0.40749	1.3172	0.21917	0.43105	-5.6326	-0.72492	-0.40696	-0.44132	-0.31351	-0.063609	-0.49463
Mier2	-0.11713	3.3828	-1.3172	0.21919	0.43105	-6.8917	3.341	3.3467	3.6839	3.22	3.3958	3.3092
Gm15694	0.48942	-1.8554	1.317	0.21925	0.43111	-5.1373	-1.6367	-2.396	-2.3431	-1.3437	-1.9974	-1.4158
Mosc2	-0.043854	5.7465	-1.3167	0.21934	0.43123	-7.3487	5.7347	5.7892	5.7832	5.7125	5.7512	5.708
Tmem127	0.044897	6.0903	1.3166	0.21939	0.43127	-7.3803	6.086	6.072	6.0426	6.068	6.1491	6.1242
Zfp236	0.076499	5.8283	1.3158	0.21962	0.43168	-7.3576	5.9191	5.6667	5.7832	5.8535	5.8988	5.8484
Zfp473	-0.13609	1.9814	-1.3152	0.21984	0.43195	-6.4579	1.9865	2.216	1.8968	1.8126	1.9723	2.004
1700012L04Rik	0.35228	-1.3242	1.3151	0.21986	0.43195	-5.3244	-1.4108	-1.3319	-1.8362	-0.92356	-1.3055	-1.1375
4930539J05Rik	0.35399	-0.70275	1.3151	0.21986	0.43195	-5.531	-0.64897	-0.84047	-1.1648	-0.058791	-0.68286	-0.82062
Grk6	-0.046314	7.4641	-1.3151	0.21987	0.43195	-7.4486	7.4676	7.4456	7.5498	7.4414	7.4636	7.4162
Sh3bp1	0.077262	6.5718	1.315	0.21991	0.43197	-7.4157	6.5186	6.4206	6.6691	6.608	6.6677	6.5467
Gfap	1.3057	-3.2919	1.3147	0.22001	0.43211	-4.7638	-4.712	-3.5335	-3.1316	-0.83521	-3.3759	-4.163
Ggh	-0.048413	5.4401	-1.3141	0.22017	0.43238	-7.3175	5.4332	5.4975	5.4598	5.371	5.4321	5.4472
Tpp2	0.049637	7.3234	1.3137	0.22032	0.43263	-7.4475	7.3754	7.2737	7.2449	7.3404	7.3446	7.3613
Esyt2	-0.05929	6.277	-1.3134	0.2204	0.43272	-7.3986	6.4058	6.2791	6.2289	6.2384	6.2412	6.2688
Churc1	-0.16969	1.5004	-1.3128	0.22062	0.43309	-6.2997	1.3603	1.6444	1.8141	1.481	1.268	1.4348
1700067K01Rik	-0.43361	-1.5883	-1.3127	0.22064	0.43309	-5.2354	-1.5421	-1.2116	-1.3816	-2.208	-1.2604	-1.926
Srp72	-0.045056	8.0792	-1.3122	0.22081	0.43333	-7.4577	8.1528	8.0819	8.0704	8.032	8.0957	8.0425
Cacnb1	-0.19511	1.185	-1.3121	0.22082	0.43333	-6.1939	1.2718	1.1104	1.5638	1.2977	0.9604	0.90615
Gm11222	0.34901	-1.4733	1.3116	0.22099	0.43358	-5.2809	-1.6367	-1.768	-1.4618	-1.1896	-1.3055	-1.4785
Hist1h2bh	0.3804	-0.82474	1.3116	0.221	0.43358	-5.4956	-1.497	-0.72614	-0.70842	-0.75195	-0.31699	-0.948
S1pr3	-0.40252	-1.4245	-1.3115	0.22103	0.43358	-5.2941	-1.0436	-1.031	-1.6369	-1.2646	-1.5549	-2.0162
Heatr5b	0.056643	5.9299	1.3114	0.22106	0.43359	-7.3727	5.9896	5.8584	5.8506	5.929	5.9662	5.9855
Ythdc1	0.047823	7.2898	1.311	0.2212	0.43381	-7.45	7.3083	7.2534	7.2348	7.2626	7.3653	7.3142
Amac1	0.69552	-2.9965	1.3108	0.22126	0.43386	-4.8287	-2.8755	-3.5335	-3.7837	-3.1011	-2.2384	-2.4468
Gm15928	0.64186	-2.6787	1.3103	0.2214	0.43409	-4.9048	-3.127	-2.6855	-3.1316	-2.208	-1.8565	-3.0635
Dnajc17	-0.10487	3.2353	-1.3102	0.22145	0.43409	-6.8585	3.1451	3.3901	3.3263	3.0793	3.2041	3.2668
St7l	-0.061562	3.6964	-1.3102	0.22146	0.43409	-6.9858	3.6859	3.7251	3.7829	3.6721	3.6472	3.6654
Haus1	-0.065265	5.0396	-1.3096	0.22163	0.43436	-7.2681	4.9738	5.1565	5.0889	5.0112	4.9796	5.0279
Hist1h3c	0.43915	-1.7796	1.3096	0.22165	0.43436	-5.171	-1.7914	-2.0141	-2.3431	-1.8787	-1.352	-1.2979
Zfp12	0.05784	5.1309	1.3095	0.22168	0.43437	-7.2818	5.1674	5.0467	5.0932	5.1872	5.1886	5.1021
Gm12460	0.20058	0.47395	1.3094	0.2217	0.43437	-5.9537	0.39356	0.46048	0.20335	0.59934	0.38256	0.80442
Gm16598	-0.32796	-1.0207	-1.3091	0.22182	0.43454	-5.4355	-0.53065	-1.1005	-0.97635	-1.1536	-1.1743	-1.189
Blm	-0.055539	6.0942	-1.3089	0.22187	0.43457	-7.3901	6.192	6.0872	6.0811	6.011	6.0801	6.1136
Rab5b	-0.04476	7.1202	-1.3088	0.22189	0.43457	-7.4479	7.1843	7.1466	7.0955	7.1015	7.1281	7.065
Nit2	-0.054415	4.9754	-1.3084	0.22202	0.43478	-7.2596	4.9434	5.0627	5.0047	4.9668	4.9547	4.9203
Sntb1	-0.12099	3.042	-1.3083	0.22208	0.43482	-6.8039	3.284	2.9401	3.0796	2.9772	3.0604	2.9107
Nrd1	-0.04356	7.7884	-1.3081	0.22212	0.43485	-7.4611	7.8521	7.7784	7.8	7.7283	7.7957	7.776
Pkmyt1	-0.087341	4.8344	-1.3081	0.22215	0.43485	-7.2368	4.7664	4.8296	5.0622	4.7477	4.7735	4.8269
Tex10	0.046025	6.1219	1.307	0.22248	0.43545	-7.3945	6.1459	6.0967	6.049	6.123	6.1462	6.1703
Clec4e	-0.045998	6.864	-1.3062	0.22274	0.43591	-7.4414	6.8965	6.9196	6.8421	6.8346	6.8033	6.8877
Abhd10	0.060456	4.1863	1.3059	0.22285	0.43606	-7.1107	4.1491	4.0993	4.2315	4.2083	4.1853	4.2446
Rrs1	0.047735	5.5905	1.3051	0.22311	0.43649	-7.346	5.5493	5.5839	5.5653	5.561	5.6581	5.6256
Incenp	0.050222	7.4099	1.305	0.22314	0.43649	-7.4599	7.3327	7.3875	7.4357	7.4004	7.4927	7.4107
Rc3h1	0.071209	6.6356	1.305	0.22315	0.43649	-7.4315	6.7339	6.5363	6.5245	6.6297	6.6985	6.6906
Rps26	-0.079746	8.6726	-1.3049	0.22318	0.43649	-7.4672	8.6838	8.6285	8.8252	8.5907	8.5566	8.7509
Gm11585	0.25807	-0.63517	1.3039	0.2235	0.43705	-5.569	-0.80509	-0.62021	-0.91864	-0.5986	-0.43729	-0.43121
Glrx5	0.073724	4.0655	1.3038	0.22353	0.43705	-7.0854	4.0106	3.9374	4.1647	4.1097	4.0797	4.091
Gm15555	0.90544	-3.6635	1.3038	0.22354	0.43705	-4.7157	-3.4319	-5.1185	-3.7837	-3.1011	-3.8233	-2.7224
Ppm1j	-0.3502	-0.23984	-1.3037	0.22357	0.43705	-5.7079	-0.10148	0.18167	-0.44132	-0.92356	-0.10287	-0.051503
Cacng8	-0.11802	2.189	-1.3032	0.22373	0.4372	-6.5404	2.2993	2.1084	2.3776	2.1878	2.1287	2.0324
Gm17250	0.73157	-2.9641	1.3032	0.22373	0.4372	-4.8437	-4.0599	-2.5824	-3.4211	-2.9699	-2.6389	-2.1124
Ift46	-0.06349	4.6125	-1.3032	0.22373	0.4372	-7.2029	4.5572	4.7179	4.6586	4.5588	4.5748	4.6075
Rabl3	0.062147	3.799	1.3029	0.22382	0.43731	-7.0209	3.7873	3.7151	3.8045	3.7902	3.8446	3.8522
Cirh1a	0.047322	6.1466	1.3027	0.22388	0.43739	-7.4018	6.1067	6.1552	6.1066	6.1546	6.2274	6.1291
Lzts2	-0.16164	2.53	-1.3025	0.22397	0.4375	-6.6509	2.5695	2.3814	2.9616	2.4709	2.3264	2.4705
Anapc7	-0.048603	6.1384	-1.3013	0.22435	0.43818	-7.4029	6.1185	6.2099	6.159	6.0725	6.1546	6.1159
Ggn	-0.17619	0.72066	-1.3012	0.22438	0.4382	-6.0495	0.73333	0.75437	1.0163	0.74975	0.60597	0.46426
Crygn	0.64408	-2.4446	1.3011	0.22443	0.43824	-4.9711	-3.2714	-1.768	-3.4211	-2.208	-2.0733	-1.926
Copa	0.040438	9.1303	1.301	0.22446	0.43824	-7.4718	9.1307	9.1169	9.0826	9.1483	9.184	9.1192
